"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"Cuvée Patrimony Brut Champagne N.V.","France","Champagne","Michel Loriot",3.8,77,25.99,"N.V.","Sparkling"
"Brut Metodo Classico Opere Trevigiane N.V.","Italy","Veneto","Villa Sandi",3.7,77,17.5,"N.V.","Sparkling"
"Millesimé Brut Champagne 2013","France","Champagne","Deutz",4,78,48.5,"2013","Sparkling"
"Brut 2018","Italy","Conegliano-Valdobbiadene Prosecco","Bepin de Eto",3.8,78,11.21,"2018","Sparkling"
"Brut N.V.","Italy","Piemonte","Tenuta San Pietro",3.7,78,18.81,"N.V.","Sparkling"
"Cava Brut Imperial Reserva N.V.","Spain","Cava","Pupitre",3.6,78,9.5,"N.V.","Sparkling"
"Franciacorta Rosé 2015","Italy","Franciacorta","Bellavista",4.1,78,46.9,"2015","Sparkling"
"Stefano Bottega Fragolino Rosso Frizzante N.V.","Italy","Friuli-Venezia Giulia","Bottega",4.1,78,6.5,"N.V.","Sparkling"
"Brut Rosé N.V.","Italy","Prosecco","Bosco del Merlo",3.8,79,10.45,"N.V.","Sparkling"
"Millésime Brut Champagne 2009","France","Champagne","Tribaut Schloesser",4.2,79,39.95,"2009","Sparkling"
"Conte Aimo Blanc de Noir 2009","Italy","Franciacorta","Montenisa",4.2,80,47,"2009","Sparkling"
"Réserve Blanquette de Limoux Brut 2016","France","Blanquette de Limoux","Antech",3.7,80,14.62,"2016","Sparkling"
"Pierre Brut N.V.","Germany","Pfalz","Dr. Von Bassermann-Jordan",3.8,81,21.9,"N.V.","Sparkling"
"Grande Sélection Brut Champagne N.V.","France","Champagne","Le Brun de Neuville",4,81,29.95,"N.V.","Sparkling"
"Blanc de Blancs N.V.","Italy","Veneto","Ottella",4,82,19.5,"N.V.","Sparkling"
"Extra Brut Champagne N.V.","France","Champagne","Comtesse Lafond",4.1,82,44.9,"N.V.","Sparkling"
"Brut Nature Vintage 2015","Spain","Cava","Vilarnau",3.3,83,15.61,"2015","Sparkling"
"Vieille Réserve Brut Champagne Premier Cru N.V.","France","Champagne Premier Cru","Frédéric Malétrez",4.1,83,45,"N.V.","Sparkling"
"Ca del Vento Lambrusco Rosato N.V.","Italy","Reggiano","Venturini Baldini",3.5,83,11.9,"N.V.","Sparkling"
"Riesling Brut 2017","Germany","Pfalz","Reichsrat von Buhl",3.9,84,14.75,"2017","Sparkling"
"Rosato Secco N.V.","Italy","Emilia-Romagna","Duca del Valentino",3.5,85,7.75,"N.V.","Sparkling"
"Rive di San Pietro di Barbozza Valdobbiadene Prosecco Superiore N.V.","Italy","Conegliano-Valdobbiadene Prosecco Superiore","Villa Sandi",4,86,17.69,"N.V.","Sparkling"
"Millesimé Exception Brut Champagne 2014","France","Champagne","Drappier",4.1,86,39.79,"2014","Sparkling"
"Franciacorta Pas Operé 2012","Italy","Franciacorta","Bellavista",4.2,87,45.9,"2012","Sparkling"
"Lugana Brut N.V.","Italy","Lugana","Roveglia",3.5,87,15.43,"N.V.","Sparkling"
"Brut Rosé 2015","Germany","Baden","Griesel & Compagnie",3.9,88,15.5,"2015","Sparkling"
"Triumvirat Grande Cuvée Brut 2010","Germany","Rheinhessen","Raumland",4.2,88,39,"2010","Sparkling"
"Ribolla Gialla 2015","Italy","Colli Orientali del Friuli","Collavini",4.1,89,26.31,"2015","Sparkling"
"Comtes de Champagne Rosé 2007","France","Champagne","Taittinger",4.3,89,208.2,"2007","Sparkling"
"Vértice Gouveio Bruto 2007","Portugal","Douro","Caves Transmontanas",4.1,90,23.39,"2007","Sparkling"
"Rosé de Noir Cuvée Brut N.V.","Italy","Emilia-Romagna","Cleto Chiarli",3.9,90,9.95,"N.V.","Sparkling"
"Prosecco 2016","Italy","Prosecco","Zonin",3.4,90,8.24,"2016","Sparkling"
"Pinot Brut N.V.","Germany","Pfalz","Menger-Krug",3.6,91,15.89,"N.V.","Sparkling"
"Ballerine Brut Étoile Rosé N.V.","France","Crémant de Limoux","Gérard Bertrand",4,91,50.14,"N.V.","Sparkling"
"Franciacorta Riserva Satèn Palazzo Lana 2008","Italy","Franciacorta","Berlucchi",4.2,92,69.9,"2008","Sparkling"
"Brut Blanc De Blancs 2015","South Africa","Robertson","Graham Beck",4,92,19.9,"2015","Sparkling"
"Francesco Galliano Blanc de Blancs 2015","Italy","Piemonte","Borgo Maragliano",3.7,92,17.9,"2015","Sparkling"
